[277.0632281902271, 236.4901852045688] [160, 700] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[277.0632281902271, 236.4901852045688] [950, 180] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[277.0632281902271, 236.4901852045688] [746.500874814525, 529.0053318846581] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[277.0632281902271, 236.4901852045688] [612.1188149059358, 432.6628009387675] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[277.0632281902271, 236.4901852045688] [886.2084919714689, 328.51041668643734] [886.2084919714689, 328.51041668643734] [1020, 534.8214504901371]
[277.0632281902271, 236.4901852045688] [1020, 534.8214504901371] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[277.0632281902271, 236.4901852045688] [748.9132705914279, 209.8235796975721] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[277.0632281902271, 236.4901852045688] [631.9101733489499, 229.7916120325405] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[277.0632281902271, 236.4901852045688] [313.74967454978605, 215.78273886800122] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[277.0632281902271, 236.4901852045688] [316.8059895750102, 106.76736664299011] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[277.0632281902271, 236.4901852045688] [536.1940104249898, 77.23263335700987] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[277.0632281902271, 236.4901852045688] [560.4268815098361, 51.60206940188617] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[564.2091643979257, 335.8523239537853] [160, 700] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[564.2091643979257, 335.8523239537853] [950, 180] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[564.2091643979257, 335.8523239537853] [746.500874814525, 529.0053318846581] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[564.2091643979257, 335.8523239537853] [612.1188149059358, 432.6628009387675] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[564.2091643979257, 335.8523239537853] [886.2084919714689, 328.51041668643734] [886.2084919714689, 328.51041668643734] [1020, 534.8214504901371]
[564.2091643979257, 335.8523239537853] [1020, 534.8214504901371] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[564.2091643979257, 335.8523239537853] [748.9132705914279, 209.8235796975721] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[564.2091643979257, 335.8523239537853] [631.9101733489499, 229.7916120325405] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[564.2091643979257, 335.8523239537853] [313.74967454978605, 215.78273886800122] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[564.2091643979257, 335.8523239537853] [316.8059895750102, 106.76736664299011] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[564.2091643979257, 335.8523239537853] [536.1940104249898, 77.23263335700987] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[564.2091643979257, 335.8523239537853] [560.4268815098361, 51.60206940188617] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[363.55937108571817, 523.5437550867098] [160, 700] [564.2091643979257, 335.8523239537853] [363.55937108571817, 523.5437550867098]
[363.55937108571817, 523.5437550867098] [950, 180] [564.2091643979257, 335.8523239537853] [363.55937108571817, 523.5437550867098]
[363.55937108571817, 523.5437550867098] [746.500874814525, 529.0053318846581] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[363.55937108571817, 523.5437550867098] [612.1188149059358, 432.6628009387675] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[363.55937108571817, 523.5437550867098] [886.2084919714689, 328.51041668643734] [886.2084919714689, 328.51041668643734] [1020, 534.8214504901371]
[363.55937108571817, 523.5437550867098] [1020, 534.8214504901371] [1020, 534.8214504901371] [746.500874814525, 529.0053318846581]
[363.55937108571817, 523.5437550867098] [748.9132705914279, 209.8235796975721] [564.2091643979257, 335.8523239537853] [363.55937108571817, 523.5437550867098]
[363.55937108571817, 523.5437550867098] [631.9101733489499, 229.7916120325405] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[363.55937108571817, 523.5437550867098] [313.74967454978605, 215.78273886800122] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[363.55937108571817, 523.5437550867098] [316.8059895750102, 106.76736664299011] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[363.55937108571817, 523.5437550867098] [536.1940104249898, 77.23263335700987] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[363.55937108571817, 523.5437550867098] [560.4268815098361, 51.60206940188617] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[77.16823632612892, 431.1137357549361] [160, 700] [363.55937108571817, 523.5437550867098] [77.16823632612892, 431.1137357549361]
[77.16823632612892, 431.1137357549361] [950, 180] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[77.16823632612892, 431.1137357549361] [746.500874814525, 529.0053318846581] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[77.16823632612892, 431.1137357549361] [612.1188149059358, 432.6628009387675] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[77.16823632612892, 431.1137357549361] [886.2084919714689, 328.51041668643734] [886.2084919714689, 328.51041668643734] [1020, 534.8214504901371]
[77.16823632612892, 431.1137357549361] [1020, 534.8214504901371] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[77.16823632612892, 431.1137357549361] [748.9132705914279, 209.8235796975721] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[77.16823632612892, 431.1137357549361] [631.9101733489499, 229.7916120325405] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[77.16823632612892, 431.1137357549361] [313.74967454978605, 215.78273886800122] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[77.16823632612892, 431.1137357549361] [316.8059895750102, 106.76736664299011] [363.55937108571817, 523.5437550867098] [77.16823632612892, 431.1137357549361]
[77.16823632612892, 431.1137357549361] [536.1940104249898, 77.23263335700987] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[77.16823632612892, 431.1137357549361] [560.4268815098361, 51.60206940188617] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[748.9132705914279, 209.8235796975721] [160, 700] [748.9132705914279, 209.8235796975721] [631.9101733489499, 229.7916120325405]
[748.9132705914279, 209.8235796975721] [950, 180] [748.9132705914279, 209.8235796975721] [631.9101733489499, 229.7916120325405]
[748.9132705914279, 209.8235796975721] [746.500874814525, 529.0053318846581] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[748.9132705914279, 209.8235796975721] [612.1188149059358, 432.6628009387675] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[748.9132705914279, 209.8235796975721] [886.2084919714689, 328.51041668643734] [886.2084919714689, 328.51041668643734] [1020, 534.8214504901371]
[748.9132705914279, 209.8235796975721] [1020, 534.8214504901371] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[748.9132705914279, 209.8235796975721] [277.0632281902271, 236.4901852045688] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[748.9132705914279, 209.8235796975721] [564.2091643979257, 335.8523239537853] [564.2091643979257, 335.8523239537853] [363.55937108571817, 523.5437550867098]
[748.9132705914279, 209.8235796975721] [363.55937108571817, 523.5437550867098] [363.55937108571817, 523.5437550867098] [77.16823632612892, 431.1137357549361]
[748.9132705914279, 209.8235796975721] [77.16823632612892, 431.1137357549361] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[631.9101733489499, 229.7916120325405] [160, 700] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[631.9101733489499, 229.7916120325405] [950, 180] [748.9132705914279, 209.8235796975721] [631.9101733489499, 229.7916120325405]
[631.9101733489499, 229.7916120325405] [746.500874814525, 529.0053318846581] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[631.9101733489499, 229.7916120325405] [612.1188149059358, 432.6628009387675] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[631.9101733489499, 229.7916120325405] [886.2084919714689, 328.51041668643734] [886.2084919714689, 328.51041668643734] [1020, 534.8214504901371]
[631.9101733489499, 229.7916120325405] [1020, 534.8214504901371] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[631.9101733489499, 229.7916120325405] [277.0632281902271, 236.4901852045688] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[631.9101733489499, 229.7916120325405] [564.2091643979257, 335.8523239537853] [564.2091643979257, 335.8523239537853] [363.55937108571817, 523.5437550867098]
[631.9101733489499, 229.7916120325405] [363.55937108571817, 523.5437550867098] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[631.9101733489499, 229.7916120325405] [77.16823632612892, 431.1137357549361] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[313.74967454978605, 215.78273886800122] [160, 700] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[313.74967454978605, 215.78273886800122] [950, 180] [631.9101733489499, 229.7916120325405] [313.74967454978605, 215.78273886800122]
